log,timestamp,cluster_id,template,anomaly_score,is_anomaly
"Jul  6, 2017 06:58:58.492265000 Central Daylight Time			Device ID: SWCL  Port ID: GigabitEthernet1/0/15",N/A,2,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*> <*> <*>",0.011376038371954111,1
"Jul  6, 2017 06:59:00.490140000 Central Daylight Time	192.168.10.50	192.168.10.3	SASL GSS-API Privacy: payload (352 bytes)",N/A,3,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*> <*> <*> <*> <*>",0.0012836506472197473,1
"Jul  6, 2017 06:59:00.490146000 Central Daylight Time	192.168.10.50	192.168.10.3	[TCP Retransmission] 33898 â†’ 389 [PSH, ACK] Seq=1 Ack=1 Win=571 Len=403 TSval=64033444 TSecr=861228459",N/A,4,"Jul 6, 2017 <*> Central Daylight Time <*> <*> [TCP <*> <*> â†’ <*> <*> ACK] <*> <*> <*> <*> <*> <*>",-0.014652793573387557,-1
"Jul  6, 2017 06:59:00.490456000 Central Daylight Time	192.168.10.3	192.168.10.50	SASL GSS-API Privacy: payload (265 bytes)",N/A,3,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*> <*> <*> <*> <*>",0.0012836506472197473,1
"Jul  6, 2017 06:59:00.490460000 Central Daylight Time	192.168.10.3	192.168.10.50	[TCP Retransmission] 389 â†’ 33898 [PSH, ACK] Seq=1 Ack=404 Win=2077 Len=316 TSval=861505455 TSecr=64033444",N/A,4,"Jul 6, 2017 <*> Central Daylight Time <*> <*> [TCP <*> <*> â†’ <*> <*> ACK] <*> <*> <*> <*> <*> <*>",-0.014652793573387557,-1
"Jul  6, 2017 06:59:00.490506000 Central Daylight Time	192.168.10.50	192.168.10.3	33898 â†’ 389 [ACK] Seq=404 Ack=317 Win=593 Len=0 TSval=64033444 TSecr=861505455",N/A,5,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> â†’ <*> [ACK] <*> <*> <*> <*> <*> <*>",0.01912619731234455,1
"Jul  6, 2017 06:59:00.490554000 Central Daylight Time	192.168.10.50	192.168.10.3	[TCP Dup ACK 6#1] 33898 â†’ 389 [ACK] Seq=404 Ack=317 Win=593 Len=0 TSval=64033444 TSecr=861505455",N/A,6,"Jul 6, 2017 <*> Central Daylight Time <*> <*> [TCP <*> <*> <*> <*> â†’ <*> [ACK] <*> <*> <*> Len=0 <*> <*>",-0.005503488754949382,-1
"Jul  6, 2017 06:59:00.491104000 Central Daylight Time	192.168.10.50	192.168.10.3	SASL GSS-API Privacy: payload (352 bytes)",N/A,3,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*> <*> <*> <*> <*>",0.0012836506472197473,1
"Jul  6, 2017 06:59:00.491108000 Central Daylight Time	192.168.10.50	192.168.10.3	[TCP Retransmission] 33904 â†’ 389 [PSH, ACK] Seq=1 Ack=1 Win=390 Len=403 TSval=64033444 TSecr=861228411",N/A,4,"Jul 6, 2017 <*> Central Daylight Time <*> <*> [TCP <*> <*> â†’ <*> <*> ACK] <*> <*> <*> <*> <*> <*>",-0.014652793573387557,-1
"Jul  6, 2017 06:59:00.491375000 Central Daylight Time	192.168.10.3	192.168.10.50	SASL GSS-API Privacy: payload (265 bytes)",N/A,3,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*> <*> <*> <*> <*>",0.0012836506472197473,1
"Jul  6, 2017 06:59:00.491379000 Central Daylight Time	192.168.10.3	192.168.10.50	[TCP Retransmission] 389 â†’ 33904 [PSH, ACK] Seq=1 Ack=404 Win=2075 Len=316 TSval=861505455 TSecr=64033444",N/A,4,"Jul 6, 2017 <*> Central Daylight Time <*> <*> [TCP <*> <*> â†’ <*> <*> ACK] <*> <*> <*> <*> <*> <*>",-0.014652793573387557,-1
"Jul  6, 2017 06:59:00.491423000 Central Daylight Time	192.168.10.50	192.168.10.3	33904 â†’ 389 [ACK] Seq=404 Ack=317 Win=412 Len=0 TSval=64033444 TSecr=861505455",N/A,5,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> â†’ <*> [ACK] <*> <*> <*> <*> <*> <*>",0.01912619731234455,1
"Jul  6, 2017 06:59:00.491471000 Central Daylight Time	192.168.10.50	192.168.10.3	[TCP Dup ACK 12#1] 33904 â†’ 389 [ACK] Seq=404 Ack=317 Win=412 Len=0 TSval=64033444 TSecr=861505455",N/A,6,"Jul 6, 2017 <*> Central Daylight Time <*> <*> [TCP <*> <*> <*> <*> â†’ <*> [ACK] <*> <*> <*> Len=0 <*> <*>",-0.005503488754949382,-1
"Jul  6, 2017 06:59:02.261854000 Central Daylight Time			Device ID: SWCL  Port ID: GigabitEthernet1/0/6",N/A,2,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*> <*> <*>",0.011376038371954111,1
"Jul  6, 2017 06:59:02.963151000 Central Daylight Time			Device ID: SWCL  Port ID: GigabitEthernet1/0/17",N/A,2,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*> <*> <*>",0.011376038371954111,1
"Jul  6, 2017 06:59:05.720779000 Central Daylight Time			Who has 192.168.10.3? Tell 192.168.10.50",N/A,7,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*> <*>",0.0175540091243781,1
"Jul  6, 2017 06:59:05.720785000 Central Daylight Time			Who has 192.168.10.3? Tell 192.168.10.50",N/A,7,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*> <*>",0.0175540091243781,1
"Jul  6, 2017 06:59:05.720786000 Central Daylight Time			192.168.10.3 is at 18:66:da:9b:e3:7d",N/A,8,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*>",0.011846560385895655,1
"Jul  6, 2017 06:59:05.720787000 Central Daylight Time			192.168.10.3 is at 18:66:da:9b:e3:7d",N/A,8,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*>",0.011846560385895655,1
"Jul  6, 2017 06:59:10.443246000 Central Daylight Time			Device ID: SWCL  Port ID: GigabitEthernet1/0/2",N/A,2,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*> <*> <*>",0.011376038371954111,1
"Jul  6, 2017 06:59:12.574804000 Central Daylight Time			Device ID: SWCL  Port ID: GigabitEthernet1/0/5",N/A,2,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*> <*> <*>",0.011376038371954111,1
"Jul  6, 2017 06:59:16.973375000 Central Daylight Time	192.168.10.50	192.168.10.3	SASL GSS-API Privacy: payload (352 bytes)",N/A,3,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*> <*> <*> <*> <*>",0.0012836506472197473,1
"Jul  6, 2017 06:59:16.973381000 Central Daylight Time	192.168.10.50	192.168.10.3	[TCP Retransmission] 33898 â†’ 389 [PSH, ACK] Seq=404 Ack=317 Win=593 Len=403 TSval=64037565 TSecr=861505455",N/A,4,"Jul 6, 2017 <*> Central Daylight Time <*> <*> [TCP <*> <*> â†’ <*> <*> ACK] <*> <*> <*> <*> <*> <*>",-0.014652793573387557,-1
"Jul  6, 2017 06:59:16.973670000 Central Daylight Time	192.168.10.3	192.168.10.50	SASL GSS-API Privacy: payload (265 bytes)",N/A,3,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*> <*> <*> <*> <*>",0.0012836506472197473,1
"Jul  6, 2017 06:59:16.973675000 Central Daylight Time	192.168.10.3	192.168.10.50	[TCP Retransmission] 389 â†’ 33898 [PSH, ACK] Seq=317 Ack=807 Win=2076 Len=316 TSval=861521938 TSecr=64037565",N/A,4,"Jul 6, 2017 <*> Central Daylight Time <*> <*> [TCP <*> <*> â†’ <*> <*> ACK] <*> <*> <*> <*> <*> <*>",-0.014652793573387557,-1
"Jul  6, 2017 06:59:16.973750000 Central Daylight Time	192.168.10.50	192.168.10.3	33898 â†’ 389 [ACK] Seq=807 Ack=633 Win=616 Len=0 TSval=64037565 TSecr=861521938",N/A,5,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> â†’ <*> [ACK] <*> <*> <*> <*> <*> <*>",0.01912619731234455,1
"Jul  6, 2017 06:59:16.973754000 Central Daylight Time	192.168.10.50	192.168.10.3	[TCP Dup ACK 26#1] 33898 â†’ 389 [ACK] Seq=807 Ack=633 Win=616 Len=0 TSval=64037565 TSecr=861521938",N/A,6,"Jul 6, 2017 <*> Central Daylight Time <*> <*> [TCP <*> <*> <*> <*> â†’ <*> [ACK] <*> <*> <*> Len=0 <*> <*>",-0.005503488754949382,-1
"Jul  6, 2017 06:59:16.974324000 Central Daylight Time	192.168.10.50	192.168.10.3	SASL GSS-API Privacy: payload (352 bytes)",N/A,3,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*> <*> <*> <*> <*>",0.0012836506472197473,1
"Jul  6, 2017 06:59:16.974328000 Central Daylight Time	192.168.10.50	192.168.10.3	[TCP Retransmission] 33904 â†’ 389 [PSH, ACK] Seq=404 Ack=317 Win=412 Len=403 TSval=64037565 TSecr=861505455",N/A,4,"Jul 6, 2017 <*> Central Daylight Time <*> <*> [TCP <*> <*> â†’ <*> <*> ACK] <*> <*> <*> <*> <*> <*>",-0.014652793573387557,-1
"Jul  6, 2017 06:59:16.974591000 Central Daylight Time	192.168.10.3	192.168.10.50	SASL GSS-API Privacy: payload (265 bytes)",N/A,3,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*> <*> <*> <*> <*>",0.0012836506472197473,1
"Jul  6, 2017 06:59:16.974595000 Central Daylight Time	192.168.10.3	192.168.10.50	[TCP Retransmission] 389 â†’ 33904 [PSH, ACK] Seq=317 Ack=807 Win=2081 Len=316 TSval=861521938 TSecr=64037565",N/A,4,"Jul 6, 2017 <*> Central Daylight Time <*> <*> [TCP <*> <*> â†’ <*> <*> ACK] <*> <*> <*> <*> <*> <*>",-0.014652793573387557,-1
"Jul  6, 2017 06:59:16.974647000 Central Daylight Time	192.168.10.50	192.168.10.3	33904 â†’ 389 [ACK] Seq=807 Ack=633 Win=435 Len=0 TSval=64037565 TSecr=861521938",N/A,5,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> â†’ <*> [ACK] <*> <*> <*> <*> <*> <*>",0.01912619731234455,1
"Jul  6, 2017 06:59:16.974650000 Central Daylight Time	192.168.10.50	192.168.10.3	[TCP Dup ACK 32#1] 33904 â†’ 389 [ACK] Seq=807 Ack=633 Win=435 Len=0 TSval=64037565 TSecr=861521938",N/A,6,"Jul 6, 2017 <*> Central Daylight Time <*> <*> [TCP <*> <*> <*> <*> â†’ <*> [ACK] <*> <*> <*> Len=0 <*> <*>",-0.005503488754949382,-1
"Jul  6, 2017 06:59:17.298882000 Central Daylight Time	192.168.10.14	192.168.10.3	Standard query 0xaafc A v10.vortex-win.data.microsoft.com",N/A,9,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*> <*> <*> <*>",0.026037541269015807,1
"Jul  6, 2017 06:59:17.298886000 Central Daylight Time	192.168.10.14	192.168.10.3	Standard query 0xaafc A v10.vortex-win.data.microsoft.com",N/A,9,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*> <*> <*> <*>",0.026037541269015807,1
"Jul  6, 2017 06:59:17.299147000 Central Daylight Time	192.168.10.3	192.168.10.14	Standard query response 0xaafc A v10.vortex-win.data.microsoft.com CNAME v10-win.vortex.data.microsoft.com.akadns.net CNAME geo.vortex.data.microsoft.com.akadns.net CNAME bn2.vortex.data.microsoft.com.akadns.net A 65.55.44.109",N/A,10,"Jul 6, 2017 <*> Central Daylight Time 192.168.10.3 <*> Standard query response <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>",0.0014457513735444683,1
"Jul  6, 2017 06:59:17.299151000 Central Daylight Time	192.168.10.3	192.168.10.14	Standard query response 0xaafc A v10.vortex-win.data.microsoft.com CNAME v10-win.vortex.data.microsoft.com.akadns.net CNAME geo.vortex.data.microsoft.com.akadns.net CNAME bn2.vortex.data.microsoft.com.akadns.net A 65.55.44.109",N/A,10,"Jul 6, 2017 <*> Central Daylight Time 192.168.10.3 <*> Standard query response <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>",0.0014457513735444683,1
"Jul  6, 2017 06:59:17.299504000 Central Daylight Time	192.168.10.14	65.55.44.109	59135 â†’ 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM",N/A,11,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> â†’ <*> [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM",0.010834895565262181,1
"Jul  6, 2017 06:59:17.349349000 Central Daylight Time	65.55.44.109	192.168.10.14	443 â†’ 59135 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1440 WS=256 SACK_PERM",N/A,88,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> â†’ <*> [SYN, ACK] Seq=0 Ack=1 <*> Len=0 <*> <*> <*>",-0.008656486344785719,-1
"Jul  6, 2017 06:59:17.349377000 Central Daylight Time	192.168.10.14	65.55.44.109	59135 â†’ 443 [ACK] Seq=1 Ack=1 Win=66048 Len=0",N/A,13,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> â†’ <*> [ACK] <*> <*> <*> <*>",0.009017787527783427,1
"Jul  6, 2017 06:59:17.349688000 Central Daylight Time	192.168.10.14	65.55.44.109	Client Hello (SNI=v10.vortex-win.data.microsoft.com)",N/A,7,"Jul 6, 2017 <*> Central Daylight Time <*> <*> <*> <*> <*>",0.0175540091243781,1
